County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Tioga,04/15/2021,0,0,102,40591,0,0,251.29,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Lebanon,03/24/2021,0,0,265,141793,0,0,186.89,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Juniata,04/14/2021,0,0,82,24763,0,0,331.14,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Schuylkill,12/07/2020,0,1.6,206,141359,0,1.11,145.73,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Bradford,04/14/2021,0,0.3,86,60323,0,0.47,142.57,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Mifflin,12/31/2020,1,1,128,46138,2.17,2.17,277.43,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Clarion,12/15/2020,1,1.1,30,38438,2.6,2.97,78.05,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Lebanon,03/15/2021,0,0.4,265,141793,0,0.3,186.89,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lebanon,03/14/2021,0,0.4,265,141793,0,0.3,186.89,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Potter,04/15/2021,0,0,23,16526,0,0,139.17,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Northumberland,09/17/2020,0,0.3,48,90843,0,0.31,52.84,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Elk,01/03/2021,0,0.7,23,29910,0,2.39,76.9,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Northumberland,07/14/2020,0,0.1,10,90843,0,0.16,11.01,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Pennsylvania,01/23/2021,125,144.4,21585,12801989,0.98,1.13,168.61,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Huntingdon,04/06/2021,0,0.1,128,45144,0,0.32,283.54,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Erie,10/07/2020,0,0,38,269728,0,0,14.09,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Northumberland,07/20/2020,0,0.1,11,90843,0,0.16,12.11,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Juniata,02/02/2021,0,0.1,78,24763,0,0.58,314.99,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Berks,09/19/2020,0,0.3,396,421164,0,0.07,94.03,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Lebanon,03/06/2021,0,0.3,262,141793,0,0.2,184.78,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Erie,11/13/2020,0,0.4,45,269728,0,0.16,16.68,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Snyder,04/15/2021,0,0,82,40372,0,0,203.11,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Luzerne,12/31/2020,4,4.4,505,317417,1.26,1.4,159.1,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Berks,08/04/2020,0,0.7,376,421164,0,0.17,89.28,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Lebanon,03/05/2021,0,0.3,262,141793,0,0.2,184.78,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Berks,11/17/2020,0,1.6,456,421164,0,0.37,108.27,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Lancaster,07/26/2020,0,1,407,545724,0,0.18,74.58,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Lancaster,09/12/2020,1,1,457,545724,0.18,0.18,83.74,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Schuylkill,06/24/2020,0,0,47,141359,0,0,33.25,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Adams,11/26/2020,0,0.1,47,103009,0,0.14,45.63,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Elk,02/01/2021,1,0.1,33,29910,3.34,0.48,110.33,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Lebanon,04/02/2021,0,0,266,141793,0,0,187.6,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Northumberland,10/19/2020,1,1.6,109,90843,1.1,1.73,119.99,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Snyder,04/06/2021,0,0,82,40372,0,0,203.11,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Beaver,11/08/2020,0,0,143,163929,0,0,87.23,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Carbon,02/15/2021,1,0.7,145,64182,1.56,1.11,225.92,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Franklin,03/23/2021,0,0.3,339,155027,0,0.18,218.67,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Carbon,04/06/2021,0,0.1,159,64182,0,0.22,247.73,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Mifflin,04/06/2021,0,0,175,46138,0,0,379.3,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Cambria,02/19/2021,1,0.7,389,130192,0.77,0.55,298.79,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Fulton,04/09/2021,0,0,15,14530,0,0,103.23,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Crawford,04/09/2021,0,0,145,84629,0,0,171.34,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Lebanon,03/08/2021,0,0.3,262,141793,0,0.2,184.78,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Indiana,10/08/2020,0,0.3,13,84073,0,0.34,15.46,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Schuylkill,11/20/2020,0,2.6,167,141359,0,1.82,118.14,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Lebanon,02/16/2021,0,0.6,255,141793,0,0.4,179.84,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lancaster,06/27/2020,2,1.3,367,545724,0.37,0.24,67.25,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Wayne,04/02/2021,1,0.6,75,51361,1.95,1.11,146.03,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Indiana,02/02/2021,0,0.4,152,84073,0,0.51,180.8,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Lebanon,03/18/2021,0,0,265,141793,0,0,186.89,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Greene,04/06/2021,0,0,37,36233,0,0,102.12,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Adams,11/15/2020,0,0.4,40,103009,0,0.42,38.83,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Indiana,01/18/2021,1,0.9,147,84073,1.19,1.02,174.85,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Lebanon,03/30/2021,0,0.1,266,141793,0,0.1,187.6,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Berks,10/12/2020,1,1,417,421164,0.24,0.24,99.01,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Erie,12/21/2020,7,6.3,212,269728,2.6,2.33,78.6,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Berks,08/15/2020,0,0.4,381,421164,0,0.1,90.46,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Franklin,03/28/2021,0,0,339,155027,0,0,218.67,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Indiana,08/16/2020,0,0.1,8,84073,0,0.17,9.52,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Mercer,04/09/2021,0,0.1,250,109424,0,0.13,228.47,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Indiana,12/08/2020,3,3.1,77,84073,3.57,3.74,91.59,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Erie,08/24/2020,1,0.4,33,269728,0.37,0.16,12.23,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Franklin,03/27/2021,0,0,339,155027,0,0,218.67,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Northumberland,08/03/2020,0,0,13,90843,0,0,14.31,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Washington,11/17/2020,0,1.1,61,206865,0,0.55,29.49,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Northampton,04/10/2021,0,0.4,685,305285,0,0.14,224.38,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Cambria,01/10/2021,4,4.3,348,130192,3.07,3.29,267.3,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Indiana,11/17/2020,0,0.7,31,84073,0,0.85,36.87,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Union,04/06/2021,0,0,86,44923,0,0,191.44,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Erie,08/03/2020,0,0.6,20,269728,0,0.21,7.41,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Lancaster,10/05/2020,0,0.3,464,545724,0,0.05,85.02,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Wyoming,04/06/2021,0,0,44,26794,0,0,164.22,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Mifflin,12/04/2020,2,3.1,73,46138,4.33,6.81,158.22,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Carbon,04/05/2021,1,0.1,159,64182,1.56,0.22,247.73,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Adams,10/21/2020,0,0.1,28,103009,0,0.14,27.18,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Northumberland,09/07/2020,0,0.3,44,90843,0,0.31,48.44,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Schuylkill,12/31/2020,3,2.7,265,141359,2.12,1.92,187.47,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Berks,11/23/2020,2,1,463,421164,0.47,0.24,109.93,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Cameron,04/14/2021,0,0,7,4447,0,0,157.41,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Washington,12/06/2020,2,1.7,86,206865,0.97,0.83,41.57,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Fayette,12/14/2020,6,3.7,71,129274,4.64,2.87,54.92,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Jefferson,04/10/2021,1,0.4,94,43425,2.3,0.99,216.47,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Lebanon,03/23/2021,0,0,265,141793,0,0,186.89,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Schuylkill,09/20/2020,0,0,55,141359,0,0,38.91,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Northumberland,07/18/2020,0,0.1,11,90843,0,0.16,12.11,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Schuylkill,12/08/2020,2,1.6,208,141359,1.41,1.11,147.14,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Lawrence,04/04/2021,1,0.3,197,85512,1.17,0.33,230.38,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Northumberland,10/09/2020,2,3.1,94,90843,2.2,3.46,103.48,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Adams,12/03/2020,1,0.4,50,103009,0.97,0.42,48.54,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Berks,05/23/2020,5,4,317,421164,1.19,0.95,75.27,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Berks,06/23/2020,0,0.6,355,421164,0,0.14,84.29,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Centre,11/14/2020,3,1.3,33,162385,1.85,0.79,20.32,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Erie,10/31/2020,0,0,39,269728,0,0,14.46,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Pennsylvania,08/03/2020,19,16.4,7457,12801989,0.15,0.13,58.25,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lycoming,04/21/2021,0,0.6,274,113299,0,0.5,241.84,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Potter,04/14/2021,0,0.1,23,16526,0,0.86,139.17,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Schuylkill,05/16/2020,2,1.3,28,141359,1.41,0.91,19.81,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Northumberland,11/20/2020,0,0.7,123,90843,0,0.79,135.4,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Northumberland,10/05/2020,7,2.3,82,90843,7.71,2.52,90.27,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lebanon,02/24/2021,0,0.4,260,141793,0,0.3,183.37,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lebanon,02/27/2021,0,0.3,260,141793,0,0.2,183.37,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lebanon,03/27/2021,0,0.1,266,141793,0,0.1,187.6,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Indiana,10/19/2020,0,0.3,15,84073,0,0.34,17.84,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Adams,11/12/2020,1,0.7,39,103009,0.97,0.69,37.86,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Indiana,02/08/2021,1,0.3,154,84073,1.19,0.34,183.17,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Elk,01/08/2021,0,0.4,25,29910,0,1.43,83.58,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Lebanon,03/21/2021,0,0,265,141793,0,0,186.89,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Erie,12/12/2020,6,5,155,269728,2.22,1.85,57.47,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Cambria,01/23/2021,1,1.1,368,130192,0.77,0.88,282.66,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Elk,01/19/2021,0,0.4,30,29910,0,1.43,100.3,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Crawford,12/30/2020,2,2,99,84629,2.36,2.36,116.98,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Berks,04/24/2020,6,7.1,135,421164,1.42,1.7,32.05,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Centre,12/17/2020,2,1.7,129,162385,1.23,1.06,79.44,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Clearfield,12/08/2020,0,0.6,27,79255,0,0.72,34.07,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Berks,09/18/2020,0,0.3,396,421164,0,0.07,94.03,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Erie,11/18/2020,1,0.9,50,269728,0.37,0.32,18.54,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Schuylkill,10/26/2020,3,2,99,141359,2.12,1.41,70.03,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Pennsylvania,04/20/2020,140,137.9,2021,12801989,1.09,1.08,15.79,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Susquehanna,04/19/2021,0,0.1,58,40328,0,0.35,143.82,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Indiana,10/23/2020,0,0.1,15,84073,0,0.17,17.84,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Indiana,10/07/2020,0,0.3,13,84073,0,0.34,15.46,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Erie,04/13/2021,1,0.3,401,269728,0.37,0.11,148.67,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Northumberland,11/19/2020,0,0.7,123,90843,0,0.79,135.4,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Northumberland,09/03/2020,0,0.6,43,90843,0,0.63,47.33,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Fulton,04/14/2021,0,0,15,14530,0,0,103.23,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Indiana,12/13/2020,2,3,88,84073,2.38,3.57,104.67,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Indiana,09/02/2020,0,0,9,84073,0,0,10.7,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Northumberland,07/04/2020,0,0.4,9,90843,0,0.47,9.91,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Northumberland,11/12/2020,0,0.6,118,90843,0,0.63,129.89,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Fayette,12/03/2020,0,1.1,32,129274,0,0.88,24.75,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Indiana,11/21/2020,1,1.1,36,84073,1.19,1.36,42.82,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Lancaster,11/13/2020,0,1,503,545724,0,0.18,92.17,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Northampton,11/21/2020,2,1.1,333,305285,0.66,0.37,109.08,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Indiana,01/07/2021,1,1.1,137,84073,1.19,1.36,162.95,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Adams,10/24/2020,0,0.3,29,103009,0,0.28,28.15,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Berks,05/22/2020,4,4.1,312,421164,0.95,0.98,74.08,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Erie,10/01/2020,0,0,38,269728,0,0,14.09,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Schuylkill,08/24/2020,0,0,55,141359,0,0,38.91,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Mercer,01/10/2021,0,1.6,204,109424,0,1.44,186.43,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Crawford,04/14/2021,0,0.1,146,84629,0,0.17,172.52,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Berks,06/05/2020,0,1.3,340,421164,0,0.31,80.73,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Erie,11/08/2020,0,0.4,42,269728,0,0.16,15.57,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Carbon,02/14/2021,0,0.7,144,64182,0,1.11,224.36,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Pennsylvania,05/16/2020,93,100.1,5244,12801989,0.73,0.78,40.96,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Wyoming,04/19/2021,1,0.3,46,26794,3.73,1.07,171.68,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Beaver,04/01/2021,1,0.3,362,163929,0.61,0.17,220.83,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Beaver,06/07/2020,0,0.1,78,163929,0,0.09,47.58,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Washington,12/24/2020,3,2,129,206865,1.45,0.97,62.36,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Elk,12/21/2020,1,0.4,16,29910,3.34,1.43,53.49,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Northumberland,09/10/2020,0,0.4,46,90843,0,0.47,50.64,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Erie,12/27/2020,9,5.9,246,269728,3.34,2.17,91.2,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Erie,02/15/2021,2,1.9,376,269728,0.74,0.69,139.4,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Mercer,01/06/2021,2,3.1,201,109424,1.83,2.87,183.69,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Schuylkill,10/09/2020,2,1.1,71,141359,1.41,0.81,50.23,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Berks,07/17/2020,1,0.3,366,421164,0.24,0.07,86.9,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Indiana,01/19/2021,0,0.4,147,84073,0,0.51,174.85,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Northumberland,12/04/2020,2,3.4,156,90843,2.2,3.77,171.72,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Schuylkill,05/23/2020,2,1,35,141359,1.41,0.71,24.76,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Schuylkill,08/25/2020,0,0,55,141359,0,0,38.91,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Berks,12/19/2020,5,4.7,545,421164,1.19,1.12,129.4,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Indiana,11/27/2020,0,1.7,47,84073,0,2.04,55.9,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Schuylkill,05/28/2020,1,1.1,40,141359,0.71,0.81,28.3,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Indiana,11/16/2020,2,0.9,31,84073,2.38,1.02,36.87,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Lancaster,10/07/2020,1,0.4,465,545724,0.18,0.08,85.21,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Erie,08/15/2020,0,0.4,28,269728,0,0.16,10.38,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Erie,09/08/2020,0,0.1,36,269728,0,0.05,13.35,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Berks,07/29/2020,0,0.4,371,421164,0,0.1,88.09,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Butler,04/01/2021,0,0.6,389,187853,0,0.3,207.08,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Blair,04/09/2021,0,0.3,317,121829,0,0.23,260.2,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Mifflin,04/10/2021,0,0,175,46138,0,0,379.3,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Cambria,02/13/2021,1,0.9,385,130192,0.77,0.66,295.72,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cambria,03/01/2021,0,0.1,394,130192,0,0.11,302.63,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cambria,03/11/2021,0,0.9,401,130192,0,0.66,308.01,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Indiana,08/14/2020,0,0.1,8,84073,0,0.17,9.52,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Berks,08/30/2020,1,0.6,388,421164,0.24,0.14,92.13,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Mifflin,12/05/2020,3,2.9,76,46138,6.5,6.19,164.72,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Indiana,04/14/2021,0,0.1,165,84073,0,0.17,196.26,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Erie,08/28/2020,0,0.4,35,269728,0,0.16,12.98,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Lycoming,12/02/2020,1,1.4,50,113299,0.88,1.26,44.13,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Jefferson,04/15/2021,0,0.3,94,43425,0,0.66,216.47,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Franklin,12/10/2020,4,3.7,168,155027,2.58,2.4,108.37,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Schuylkill,08/06/2020,0,0.1,54,141359,0,0.1,38.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Washington,12/07/2020,1,1.7,87,206865,0.48,0.83,42.06,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Centre,12/25/2020,3,1.6,142,162385,1.85,0.97,87.45,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Schuylkill,09/25/2020,0,0.1,56,141359,0,0.1,39.62,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Northumberland,07/22/2020,1,0.3,13,90843,1.1,0.31,14.31,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Washington,11/27/2020,1,0.4,70,206865,0.48,0.21,33.84,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Washington,11/30/2020,1,0.9,75,206865,0.48,0.41,36.26,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Lancaster,08/11/2020,3,1.6,427,545724,0.55,0.29,78.24,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Fayette,12/07/2020,5,2.1,45,129274,3.87,1.66,34.81,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Berks,05/30/2020,1,2.1,332,421164,0.24,0.51,78.83,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Northampton,11/26/2020,3,1,338,305285,0.98,0.33,110.72,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Clarion,12/08/2020,2,1.3,22,38438,5.2,3.34,57.24,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Lancaster,07/01/2020,2,1,371,545724,0.37,0.18,67.98,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Indiana,09/28/2020,0,0,11,84073,0,0,13.08,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Adams,10/23/2020,0,0.3,29,103009,0,0.28,28.15,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Erie,11/07/2020,0,0.4,42,269728,0,0.16,15.57,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Pennsylvania,03/07/2021,32,34.3,24596,12801989,0.25,0.27,192.13,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lancaster,10/28/2020,2,0.7,481,545724,0.37,0.13,88.14,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Delaware,02/23/2021,4,1.9,1250,566747,0.71,0.33,220.56,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Lancaster,10/11/2020,2,0.7,469,545724,0.37,0.13,85.94,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Luzerne,12/14/2020,3,6.6,415,317417,0.95,2.07,130.74,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Schuylkill,11/17/2020,2,2.7,161,141359,1.41,1.92,113.89,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Indiana,02/05/2021,0,0.3,153,84073,0,0.34,181.98,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Lancaster,07/02/2020,3,1.4,374,545724,0.55,0.26,68.53,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Berks,09/08/2020,0,0.6,394,421164,0,0.14,93.55,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Schuylkill,06/04/2020,0,1,47,141359,0,0.71,33.25,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
